Year,Month,Avg Temp (°C),Precipitation (mm),Soil Moisture (%),Yield (kg/hectare)
1970,1,16.5,15.2,25.6,1585.3
1970,2,18.8,28.7,30.1,1692.1
1970,3,23.5,12.3,32.8,1810.5
1970,4,28.1,5.6,28.5,1905.7
1970,5,32.2,18.9,22.3,1856.9
1970,6,34.5,85.4,38.7,2215.8
1970,7,33.8,152.1,45.9,2487.2
1970,8,33.1,135.7,43.2,2401.6
1970,9,30.2,68.9,39.5,2259.3
1970,10,26.5,22.4,34.1,2018.7
1970,11,21.1,8.7,29.8,1802.4
1970,12,17.8,19.5,27.3,1654.9
1971,1,16.8,16.1,26.2,1598.7
1971,2,19.1,30.2,30.8,1705.5
1971,3,23.8,13.5,33.5,1823.9
1971,4,28.4,6.8,29.2,1919.1
1971,5,32.5,20.1,23,1870.3
1971,6,34.8,88.3,39.4,2229.2
1971,7,34.1,155,46.6,2500.6
1971,8,33.4,138.6,43.9,2415
1971,9,30.5,71.8,40.2,2272.7
1971,10,26.8,23.6,34.8,2032.1
1971,11,21.4,9.9,30.5,1815.8
1971,12,18.1,20.7,28,1668.3
1972,1,17.1,17,26.8,1612.1
1972,2,19.4,31.7,31.5,1718.9
1972,3,24.1,14.7,34.2,1837.3
1972,4,28.7,8,29.9,1932.5
1972,5,32.8,21.3,23.7,1883.7
1972,6,35.1,91.2,40.1,2242.6
1972,7,34.4,157.9,47.3,2514
1972,8,33.7,141.5,44.6,2428.4
1972,9,30.8,74.7,40.9,2286.1
1972,10,27.1,24.8,35.5,2045.5
1972,11,21.7,11.1,31.2,1829.2
1972,12,18.4,21.9,28.7,1681.7
1973,1,17.4,17.9,27.4,1625.5
1973,2,19.7,33.2,32.2,1732.3
1973,3,24.4,15.9,34.9,1850.7
1973,4,29,9.2,30.6,1945.9
1973,5,33.1,22.5,24.4,1897.1
1973,6,35.4,94.1,40.8,2256
1973,7,34.7,160.8,48,2527.4
1973,8,34,144.4,45.3,2441.8
1973,9,31.1,77.6,41.6,2299.5
1973,10,27.4,26,36.2,2058.9
1973,11,22,12.3,31.9,1842.6
1973,12,18.7,23.1,29.4,1695.1
1974,1,17.7,18.8,28,1638.9
1974,2,20,34.7,32.9,1745.7
1974,3,24.7,17.1,35.6,1864.1
1974,4,29.3,10.4,31.3,1959.3
1974,5,33.4,23.7,25.1,1910.5
1974,6,35.7,97,41.5,2269.4
1974,7,35,163.7,48.7,2540.8
1974,8,34.3,147.3,46,2455.2
1974,9,31.4,80.5,42.3,2312.9
1974,10,27.7,27.2,36.9,2072.3
1974,11,22.3,13.5,32.6,1856
1974,12,19,24.3,30.1,1708.5
1975,1,18,19.7,28.6,1652.3
1975,2,20.3,36.2,33.6,1759.1
1975,3,25,18.3,36.3,1877.5
1975,4,29.6,11.6,32,1972.7
1975,5,33.7,24.9,25.8,1923.9
1975,6,36,99.9,42.2,2282.8
1975,7,35.3,166.6,49.4,2554.2
1975,8,34.6,150.2,46.7,2468.6
1975,9,31.7,83.4,43,2326.3
1975,10,28,28.4,37.6,2085.7
1975,11,22.6,14.7,33.3,1869.4
1975,12,19.3,25.5,30.8,1721.9
1976,1,18.3,20.6,29.2,1665.7
1976,2,20.6,37.7,34.3,1772.5
1976,3,25.3,19.5,37,1890.9
1976,4,29.9,12.8,32.7,1986.1
1976,5,34,26.1,26.5,1937.3
1976,6,36.3,102.8,42.9,2296.2
1976,7,35.6,169.5,50.1,2567.6
1976,8,34.9,153.1,47.4,2482
1976,9,32,86.3,43.7,2339.7
1976,10,28.3,29.6,38.3,2099.1
1976,11,22.9,15.9,34,1882.8
1976,12,19.6,26.7,31.5,1735.3
1977,1,18.6,21.5,29.8,1679.1
1977,2,20.9,39.2,35,1785.9
1977,3,25.6,20.7,37.7,1904.3
1977,4,30.2,14,33.4,1999.5
1977,5,34.3,27.3,27.2,1950.7
1977,6,36.6,105.7,43.6,2309.6
1977,7,35.9,172.4,50.8,2581
1977,8,35.2,156,48.1,2495.4
1977,9,32.3,89.2,44.4,2353.1
1977,10,28.6,30.8,39,2112.5
1977,11,23.2,17.1,34.7,1896.2
1977,12,19.9,27.9,32.2,1748.7
1978,1,18.9,22.4,30.4,1692.5
1978,2,21.2,40.7,35.7,1799.3
1978,3,25.9,21.9,38.4,1917.7
1978,4,30.5,15.2,34.1,2012.9
1978,5,34.6,28.5,27.9,1964.1
1978,6,36.9,108.6,44.3,2323
